Category,Region,Age,Gender,Month,Price,Quantity,Revenue,Rating,Discount_Pct,Delivery_Days,Returned,Payment_Method
Books,East,21,Male,6,25.52,3,76.56,4.4,0,9,0,Debit Card
Electronics,West,18,Female,4,559.73,3,1679.19,3.8,25,5,0,Net Banking
Electronics,East,45,Female,7,417.23,2,834.46,3.2,0,8,0,Debit Card
Sports,North,41,Female,3,143.99,1,143.99,3.6,0,1,0,Net Banking
Books,South,52,Female,7,42.84,1,42.84,4.9,0,5,0,COD
Books,North,30,Male,5,19.96,3,59.88,4.7,25,1,0,Credit Card
Books,North,64,Male,11,15.07,2,30.14,4.3,10,6,0,Credit Card
Electronics,West,51,Female,2,623.25,2,1246.5,3.7,20,7,0,UPI
Clothing,North,28,Male,9,109.68,2,219.36,3.8,5,5,1,Debit Card
Electronics,South,53,Female,3,233.29,3,699.87,3.7,10,1,0,Credit Card
Sports,East,34,Male,5,135.97,2,271.94,4.4,10,6,0,Credit Card
Home & Kitchen,East,52,Male,6,137.92,3,413.76,3.4,20,5,0,UPI
Clothing,East,35,Male,11,59.2,3,177.6,4.3,0,6,0,COD
Electronics,North,57,Female,4,579.07,1,579.07,3.6,5,7,0,Debit Card
Clothing,South,39,Female,2,54.34,1,54.34,4.5,0,7,0,UPI
Clothing,South,41,Female,5,112.89,3,338.67,4.0,20,2,0,Credit Card
Books,North,36,Male,2,21.17,1,21.17,3.8,10,3,0,UPI
Home & Kitchen,South,54,Male,3,160.37,4,641.48,3.6,10,6,0,Credit Card
Sports,North,56,Male,8,73.75,1,73.75,4.2,10,3,0,Credit Card
Home & Kitchen,North,38,Male,2,150.58,1,150.58,3.6,30,2,0,COD
Electronics,South,25,Female,1,497.27,4,1989.08,3.9,20,4,0,COD
Books,North,45,Male,9,20.71,2,41.42,3.9,15,5,0,Credit Card
Books,East,22,Female,6,30.63,1,30.63,5.0,5,9,0,Credit Card
Home & Kitchen,East,34,Female,3,139.54,3,418.62,4.8,0,3,0,UPI
Books,West,54,Male,4,17.13,2,34.26,4.9,25,3,1,UPI
Home & Kitchen,North,53,Female,9,189.84,2,379.68,3.7,10,6,0,Credit Card
Home & Kitchen,North,36,Male,5,120.34,1,120.34,3.6,5,5,0,UPI
Clothing,North,44,Male,7,83.82,3,251.46,3.4,10,6,0,Credit Card
Electronics,East,51,Male,3,426.21,3,1278.63,4.7,25,7,0,Net Banking
Electronics,East,28,Female,8,425.57,1,425.57,4.4,10,3,0,Debit Card
Electronics,North,62,Male,5,255.03,3,765.09,4.4,15,5,0,Debit Card
Home & Kitchen,West,64,Female,8,132.98,3,398.94,3.7,20,8,0,UPI
Clothing,North,29,Female,10,74.28,2,148.56,2.9,10,4,0,COD
Home & Kitchen,East,38,Male,8,177.64,2,355.28,3.0,5,2,0,COD
Sports,East,28,Female,5,136.68,1,136.68,3.8,30,4,1,Credit Card
Electronics,West,56,Female,4,438.89,1,438.89,3.6,25,2,0,Credit Card
Clothing,East,45,Male,5,45.77,2,91.54,3.5,20,3,0,UPI
Books,West,22,Male,3,22.11,3,66.33,4.4,15,4,0,Credit Card
Electronics,South,34,Female,3,279.27,2,558.54,4.4,5,4,0,UPI
Electronics,West,37,Male,10,262.34,2,524.68,3.5,25,9,0,Debit Card
Clothing,North,58,Female,6,67.54,1,67.54,3.1,5,6,0,UPI
Electronics,West,63,Male,6,306.35,1,306.35,3.6,20,9,0,UPI
Beauty,East,29,Male,8,38.79,1,38.79,3.6,25,4,0,UPI
Sports,West,23,Male,8,56.58,1,56.58,4.1,15,9,0,COD
Home & Kitchen,South,34,Male,2,74.54,2,149.08,3.8,20,9,0,Credit Card
Sports,East,36,Female,11,61.48,1,61.48,4.7,20,6,0,Debit Card
Sports,South,43,Male,3,68.56,3,205.68,4.2,0,5,0,Credit Card
Electronics,East,61,Female,9,391.01,1,391.01,4.8,15,3,0,Credit Card
Sports,North,61,Female,10,103.07,2,206.14,3.1,0,5,0,UPI
Home & Kitchen,North,49,Female,9,92.25,2,184.5,2.2,10,3,0,Credit Card
Sports,North,23,Female,8,94.33,1,94.33,3.9,0,5,0,Credit Card
Sports,North,53,Male,1,85.86,1,85.86,3.9,10,5,1,Credit Card
Clothing,West,55,Male,6,53.31,1,53.31,3.7,20,2,0,UPI
Electronics,North,28,Female,8,212.87,3,638.61,3.9,30,9,0,Debit Card
Electronics,West,50,Male,6,406.15,1,406.15,3.3,5,7,0,Credit Card
Clothing,South,41,Female,11,92.48,2,184.96,4.1,10,6,0,Debit Card
Sports,North,40,Male,5,74.08,5,370.4,4.2,10,5,0,Credit Card
Sports,East,32,Female,5,64.44,3,193.32,3.2,25,4,1,Debit Card
Electronics,East,44,Female,4,582.56,1,582.56,3.7,10,8,0,UPI
Home & Kitchen,South,28,Female,5,111.6,4,446.4,3.7,15,2,0,Debit Card
Clothing,East,34,Female,8,56.44,1,56.44,3.5,25,8,0,COD
Electronics,East,31,Female,9,569.98,2,1139.96,3.3,10,1,0,COD
Electronics,North,44,Female,9,553.18,3,1659.54,3.9,25,1,0,Credit Card
Clothing,West,35,Female,10,73.97,2,147.94,3.9,25,3,1,COD
Beauty,West,45,Male,11,53.42,1,53.42,3.8,25,5,0,Credit Card
Clothing,East,64,Male,10,55.98,1,55.98,3.3,5,6,0,COD
Home & Kitchen,North,64,Male,1,83.28,1,83.28,4.0,10,4,0,Credit Card
Books,East,21,Female,10,32.2,2,64.4,3.8,20,7,0,UPI
Clothing,North,24,Male,4,46.67,1,46.67,3.6,10,7,0,Credit Card
Beauty,North,62,Female,3,51.26,5,256.3,3.9,15,2,0,Credit Card
Beauty,North,52,Female,8,77.79,4,311.16,4.7,0,2,0,Debit Card
Clothing,South,26,Female,5,113.32,3,339.96,3.4,0,2,0,COD
Home & Kitchen,West,25,Female,1,106.46,1,106.46,4.7,10,2,0,Debit Card
Clothing,East,62,Male,3,87.68,2,175.36,4.2,15,9,0,Debit Card
Clothing,East,34,Female,1,75.98,4,303.92,4.7,10,5,0,Net Banking
Electronics,South,34,Female,11,577.79,3,1733.37,4.2,15,8,0,Credit Card
Home & Kitchen,South,50,Male,1,111.09,1,111.09,3.7,10,5,0,Credit Card
Home & Kitchen,South,49,Male,4,72.53,1,72.53,3.3,15,5,1,Credit Card
Electronics,West,25,Female,6,278.28,1,278.28,3.7,15,1,0,UPI
Clothing,North,36,Female,6,66.26,2,132.52,4.5,10,6,0,Credit Card
Sports,West,55,Male,11,83.2,2,166.4,3.8,10,4,0,Credit Card
Electronics,East,20,Female,1,542.37,3,1627.11,4.2,0,3,0,Credit Card
Electronics,South,22,Female,7,495.84,1,495.84,4.0,10,6,0,Credit Card
Home & Kitchen,East,30,Male,9,115.14,1,115.14,3.9,15,2,0,COD
Beauty,South,64,Female,12,51.72,1,51.72,4.2,10,8,0,Credit Card
Electronics,West,63,Female,8,250.13,1,250.13,4.1,5,1,0,UPI
Books,West,48,Female,10,41.94,1,41.94,3.8,15,9,0,Debit Card
Books,South,33,Female,2,43.06,2,86.12,4.1,0,8,0,UPI
Electronics,North,49,Male,6,621.52,2,1243.04,4.1,25,1,0,Credit Card
Books,East,39,Male,6,41.06,2,82.12,4.3,0,9,0,UPI
Clothing,West,46,Male,11,52.57,1,52.57,3.6,30,2,0,Credit Card
Home & Kitchen,North,39,Male,3,78.65,1,78.65,4.0,10,3,0,UPI
Home & Kitchen,East,60,Male,3,155.46,2,310.92,3.4,10,2,0,Credit Card
Home & Kitchen,East,20,Female,5,203.42,3,610.26,3.2,5,8,0,UPI
Electronics,East,27,Female,1,284.49,1,284.49,4.0,0,2,0,Debit Card
Sports,North,59,Female,3,51.72,3,155.16,3.2,5,2,0,UPI
Clothing,East,38,Female,12,101.83,1,101.83,3.9,0,1,0,UPI
Electronics,West,33,Female,6,242.25,3,726.75,2.9,15,7,0,UPI
Electronics,North,29,Male,8,383.76,3,1151.28,3.5,5,2,0,Net Banking
Home & Kitchen,North,19,Male,9,169.76,1,169.76,3.6,20,5,0,Credit Card
Books,West,58,Male,6,22.1,2,44.2,3.4,5,5,0,Debit Card
Electronics,North,41,Female,3,245.26,1,245.26,3.7,25,3,0,Debit Card
Home & Kitchen,West,52,Male,4,182.88,4,731.52,4.4,10,3,0,UPI
Electronics,South,47,Female,5,474.67,1,474.67,3.3,0,3,0,Credit Card
Home & Kitchen,North,47,Male,8,214.34,2,428.68,3.6,10,6,0,UPI
Electronics,West,64,Female,6,354.61,2,709.22,4.8,5,4,0,Credit Card
Books,South,52,Female,1,16.85,3,50.55,3.7,0,3,1,Credit Card
Clothing,South,36,Female,7,96.28,1,96.28,4.5,10,2,0,Credit Card
Beauty,South,25,Female,12,55.17,2,110.34,4.0,15,3,0,Credit Card
Electronics,East,43,Female,10,299.55,1,299.55,4.0,25,4,0,UPI
Clothing,North,57,Female,10,99.97,1,99.97,4.4,10,6,0,Net Banking
Electronics,South,24,Female,10,295.58,2,591.16,3.7,30,4,0,Credit Card
Beauty,West,47,Female,5,41.08,1,41.08,4.4,25,8,0,COD
Sports,North,24,Female,10,60.44,1,60.44,4.2,20,3,0,COD
Clothing,East,20,Male,3,70.16,3,210.48,3.5,10,3,0,COD
Home & Kitchen,South,18,Male,9,132.33,1,132.33,3.4,0,3,0,Net Banking
Sports,East,53,Female,9,103.49,2,206.98,3.7,5,8,0,UPI
Home & Kitchen,North,42,Male,1,174.09,1,174.09,3.7,15,4,0,Credit Card
Home & Kitchen,West,54,Male,10,202.48,1,202.48,3.3,10,1,0,UPI
Electronics,South,18,Female,11,267.85,1,267.85,3.6,0,2,0,UPI
Electronics,North,32,Female,4,232.83,2,465.66,2.2,10,2,1,Net Banking
Sports,North,54,Female,10,52.89,2,105.78,3.6,0,3,0,COD
Sports,North,30,Male,2,65.65,1,65.65,4.2,20,6,0,UPI
Home & Kitchen,South,57,Male,8,166.74,1,166.74,3.0,0,8,0,UPI
Clothing,South,25,Male,7,95.74,4,382.96,3.6,15,1,0,Credit Card
Clothing,West,22,Male,8,100.35,1,100.35,5.0,20,9,0,Credit Card
Books,South,26,Male,12,22.31,4,89.24,4.2,0,1,0,UPI
Sports,North,18,Male,11,82.2,1,82.2,4.5,10,2,0,UPI
Sports,East,53,Female,10,100.28,2,200.56,3.3,20,3,0,Net Banking
Books,East,52,Female,5,16.9,1,16.9,4.4,5,7,0,UPI
Home & Kitchen,North,19,Male,11,160.0,3,480.0,3.2,0,9,0,COD
Electronics,North,57,Male,2,623.17,2,1246.34,4.1,5,3,0,Debit Card
Electronics,North,40,Male,11,361.54,1,361.54,4.3,15,8,0,Net Banking
Sports,East,26,Male,5,127.79,1,127.79,4.1,15,9,0,Credit Card
Home & Kitchen,East,51,Female,1,144.0,2,288.0,3.6,0,7,0,Net Banking
Electronics,South,63,Male,9,263.68,2,527.36,4.0,10,4,0,Debit Card
Electronics,West,31,Male,4,454.54,1,454.54,4.0,5,4,0,Credit Card
Home & Kitchen,West,21,Male,4,115.18,1,115.18,4.1,20,4,0,Credit Card
Electronics,East,47,Male,5,224.45,3,673.35,3.8,5,6,0,COD
Electronics,West,48,Female,2,476.67,1,476.67,4.4,20,4,0,Credit Card
Home & Kitchen,North,55,Female,3,195.69,2,391.38,4.5,10,5,0,UPI
Books,North,28,Female,1,25.34,2,50.68,4.0,15,9,0,UPI
Home & Kitchen,North,52,Male,7,128.2,3,384.6,3.8,10,7,0,Debit Card
Electronics,North,25,Female,2,584.23,4,2336.92,3.4,15,8,0,Net Banking
Books,East,20,Female,9,39.41,5,197.05,4.4,10,5,0,UPI
Electronics,West,31,Female,4,510.28,1,510.28,4.1,20,5,0,UPI
Clothing,North,30,Male,12,58.41,3,175.23,3.8,10,7,0,COD
Books,North,62,Male,11,42.31,1,42.31,4.3,10,8,0,Net Banking
Home & Kitchen,South,49,Female,5,94.24,2,188.48,4.8,10,9,0,COD
Sports,West,51,Female,10,114.93,2,229.86,2.4,20,2,0,UPI
Home & Kitchen,South,62,Male,10,76.15,1,76.15,3.6,15,3,0,Credit Card
Home & Kitchen,South,36,Male,12,164.7,4,658.8,3.6,5,2,0,UPI
Electronics,North,55,Male,8,326.4,1,326.4,4.6,15,7,0,Debit Card
Clothing,North,33,Female,2,74.07,2,148.14,4.0,15,2,0,Credit Card
Clothing,West,19,Male,9,65.93,3,197.79,4.0,25,2,0,Credit Card
Electronics,West,57,Female,8,282.56,3,847.68,4.5,20,2,0,Credit Card
Beauty,North,34,Male,8,60.59,1,60.59,4.0,15,4,0,UPI
Clothing,West,51,Female,5,107.79,1,107.79,4.1,5,1,0,Net Banking
Sports,East,59,Female,11,148.83,3,446.49,3.5,20,2,0,Credit Card
Home & Kitchen,West,33,Male,12,99.7,1,99.7,3.3,15,3,0,Debit Card
Books,South,55,Female,4,36.52,2,73.04,5.0,30,7,0,COD
Home & Kitchen,South,19,Male,2,167.66,1,167.66,4.0,5,1,0,Credit Card
Home & Kitchen,South,19,Female,4,121.45,2,242.9,4.1,0,6,0,Debit Card
Home & Kitchen,East,43,Female,10,74.75,3,224.25,3.3,0,3,0,COD
Electronics,North,30,Male,9,499.71,2,999.42,4.2,15,3,0,COD
Books,North,64,Female,8,43.36,2,86.72,5.0,25,4,0,Credit Card
Clothing,South,48,Female,6,88.31,1,88.31,3.7,0,4,0,Credit Card
Electronics,East,51,Male,8,392.82,2,785.64,3.3,15,7,0,Credit Card
Home & Kitchen,North,56,Female,5,147.62,1,147.62,3.9,15,3,0,Debit Card
Electronics,East,20,Female,7,293.84,1,293.84,3.4,20,8,0,Debit Card
Beauty,West,25,Female,10,67.53,1,67.53,3.3,10,8,0,Debit Card
Beauty,North,40,Male,12,67.31,2,134.62,3.7,20,7,0,UPI
Sports,East,31,Male,12,65.84,2,131.68,3.6,0,2,0,Credit Card
Clothing,South,44,Male,12,107.48,1,107.48,3.3,20,5,0,Debit Card
Electronics,West,46,Female,6,323.06,1,323.06,4.6,5,6,0,UPI
Beauty,North,56,Male,7,80.04,1,80.04,5.0,10,4,0,Debit Card
Clothing,East,56,Female,9,68.87,4,275.48,4.1,20,5,0,UPI
Beauty,West,18,Male,12,36.61,2,73.22,4.3,5,9,0,UPI
Beauty,West,34,Female,3,45.99,1,45.99,4.0,0,7,0,Credit Card
Sports,East,58,Male,5,95.9,1,95.9,3.4,15,2,0,Credit Card
Clothing,South,47,Male,3,44.41,5,222.05,4.6,10,1,0,Credit Card
Clothing,East,30,Male,8,84.1,1,84.1,3.8,10,2,0,Credit Card
Sports,West,38,Male,5,111.96,3,335.88,3.6,5,3,0,UPI
Clothing,East,36,Female,5,96.64,1,96.64,4.3,0,2,0,Credit Card
Electronics,North,36,Female,2,222.25,4,889.0,3.9,10,3,0,Credit Card
Home & Kitchen,West,42,Female,5,149.94,3,449.82,4.3,0,9,0,Debit Card
Beauty,East,39,Female,11,29.86,2,59.72,3.9,25,4,0,UPI
Books,East,48,Female,4,36.03,1,36.03,4.7,0,9,0,Debit Card
Home & Kitchen,North,34,Female,9,80.02,1,80.02,4.3,10,3,0,Debit Card
Electronics,East,40,Female,8,592.93,1,592.93,4.6,0,1,0,Debit Card
Home & Kitchen,South,49,Female,11,173.1,2,346.2,3.4,0,5,0,COD
Beauty,East,27,Male,3,54.4,1,54.4,4.1,15,2,0,Credit Card
Electronics,North,27,Female,12,395.43,1,395.43,4.9,15,4,0,Debit Card
Home & Kitchen,East,53,Male,8,90.82,2,181.64,3.7,0,2,0,COD
Sports,West,25,Female,12,80.68,2,161.36,4.2,0,2,0,Net Banking
Books,North,37,Female,11,41.07,1,41.07,5.0,0,3,0,Credit Card
Books,West,49,Male,4,42.13,1,42.13,3.3,20,5,0,UPI
Books,South,31,Male,1,15.02,5,75.1,4.1,15,4,0,Credit Card
Clothing,West,45,Female,4,85.34,2,170.68,3.8,0,2,0,Debit Card
Clothing,East,63,Female,7,95.11,3,285.33,2.9,10,2,0,Debit Card
Sports,East,41,Male,3,114.11,2,228.22,3.6,15,6,0,UPI
Sports,East,32,Female,3,59.33,1,59.33,3.3,20,7,0,UPI
Sports,West,39,Female,7,73.21,1,73.21,4.2,25,6,0,Debit Card
Sports,South,47,Male,1,76.53,1,76.53,2.9,5,7,1,UPI
Home & Kitchen,South,21,Female,3,191.77,3,575.31,4.7,0,1,0,Net Banking
Home & Kitchen,East,30,Female,6,138.7,2,277.4,4.1,5,6,0,Net Banking
Books,West,40,Male,2,29.6,1,29.6,3.7,20,3,0,Credit Card
Home & Kitchen,East,25,Female,6,206.62,5,1033.1,4.3,30,1,1,Debit Card
Books,East,35,Female,7,34.11,1,34.11,4.5,10,8,0,Credit Card
Books,South,29,Male,7,41.96,5,209.8,4.2,5,4,0,UPI
Sports,West,48,Male,11,97.56,5,487.8,3.4,10,8,0,COD
Clothing,North,31,Male,7,50.66,1,50.66,4.1,5,4,0,Net Banking
Clothing,East,51,Female,7,111.53,1,111.53,3.9,5,4,0,UPI
Electronics,North,35,Female,6,402.66,2,805.32,3.6,15,4,0,Credit Card
Home & Kitchen,South,51,Female,10,98.15,2,196.3,3.1,0,6,0,Credit Card
Electronics,South,28,Female,11,337.01,2,674.02,3.5,5,9,0,UPI
Clothing,South,58,Female,11,42.96,5,214.8,3.5,15,5,0,Credit Card
Home & Kitchen,East,29,Male,9,139.44,2,278.88,4.4,0,8,0,UPI
Clothing,South,32,Male,3,105.54,1,105.54,4.2,0,8,0,Credit Card
Home & Kitchen,South,48,Male,5,206.44,1,206.44,3.6,5,4,0,UPI
Electronics,North,46,Male,1,601.69,2,1203.38,3.7,20,9,0,Credit Card
Electronics,South,43,Female,12,262.6,1,262.6,4.4,20,9,0,COD
Sports,North,35,Female,9,89.97,3,269.91,3.9,0,5,0,Debit Card
Clothing,North,49,Male,10,41.2,1,41.2,3.9,10,6,0,UPI
Electronics,East,39,Female,5,569.17,1,569.17,3.5,5,5,0,Credit Card
Home & Kitchen,East,55,Female,11,123.66,1,123.66,3.7,15,3,0,UPI
Books,East,34,Male,4,33.93,2,67.86,4.2,15,8,0,Credit Card
Electronics,South,40,Male,1,510.26,1,510.26,3.9,20,9,0,UPI
Home & Kitchen,South,41,Male,6,133.9,3,401.7,4.2,10,4,0,Net Banking
Electronics,West,25,Male,8,338.71,2,677.42,4.3,30,9,0,Debit Card
Electronics,South,58,Female,7,614.13,3,1842.39,3.4,30,9,0,Debit Card
Home & Kitchen,South,23,Male,11,210.89,2,421.78,3.5,25,7,0,UPI
Home & Kitchen,North,22,Male,2,113.68,1,113.68,3.5,15,8,0,COD
Home & Kitchen,South,61,Female,8,141.07,3,423.21,4.5,10,3,0,COD
Books,South,46,Female,7,44.19,1,44.19,5.0,10,5,0,UPI
Beauty,South,45,Male,5,27.26,2,54.52,3.9,0,3,0,UPI
Home & Kitchen,East,28,Male,10,131.43,1,131.43,3.7,5,7,0,UPI
Clothing,East,18,Male,10,46.84,3,140.52,4.2,15,6,0,Credit Card
Books,East,60,Male,10,30.27,4,121.08,3.8,15,3,0,Debit Card
Clothing,East,36,Male,11,40.92,2,81.84,4.2,25,9,0,UPI
Clothing,West,26,Female,9,70.74,2,141.48,3.8,0,1,0,Credit Card
Electronics,East,44,Male,4,302.69,3,908.07,3.0,0,3,0,Credit Card
Electronics,West,51,Male,9,433.99,1,433.99,3.2,20,7,0,UPI
Beauty,North,61,Female,5,80.78,4,323.12,3.9,10,3,0,COD
Sports,North,21,Male,4,132.65,1,132.65,4.4,0,3,0,UPI
Books,North,53,Male,2,40.37,5,201.85,3.8,30,2,0,Debit Card
Clothing,East,35,Male,10,88.55,2,177.1,3.5,20,9,0,UPI
Electronics,West,32,Female,9,227.46,3,682.38,4.0,10,4,0,UPI
Electronics,North,30,Male,4,296.86,2,593.72,3.1,20,6,0,UPI
Clothing,West,36,Female,10,111.16,2,222.32,3.9,15,2,0,Debit Card
Home & Kitchen,North,23,Female,11,124.72,2,249.44,3.0,20,9,0,Credit Card
Books,West,29,Male,2,18.11,1,18.11,4.5,20,7,0,UPI
Home & Kitchen,South,54,Female,4,173.15,2,346.3,3.4,0,5,0,Credit Card
Clothing,North,34,Male,10,62.36,2,124.72,3.3,15,7,0,UPI
Beauty,South,40,Male,5,41.52,4,166.08,4.2,0,4,0,COD
Books,North,43,Female,8,44.94,2,89.88,4.6,0,7,0,Credit Card
Home & Kitchen,South,46,Female,2,195.57,1,195.57,4.0,25,2,0,UPI
Home & Kitchen,South,50,Female,7,130.74,1,130.74,3.9,10,7,0,UPI
Clothing,West,44,Male,10,115.46,2,230.92,3.9,20,4,0,Net Banking
Electronics,East,42,Male,9,483.05,1,483.05,4.1,20,4,0,UPI
Clothing,South,27,Female,10,96.88,1,96.88,4.0,25,1,0,Debit Card
Books,East,64,Male,11,15.95,3,47.85,4.0,20,3,0,Net Banking
Electronics,East,40,Male,10,261.07,2,522.14,4.2,10,5,0,UPI
Electronics,North,38,Male,9,475.9,2,951.8,3.5,5,5,0,UPI
Electronics,South,38,Male,1,587.59,1,587.59,4.4,0,2,0,UPI
Electronics,North,60,Female,7,471.97,2,943.94,4.3,10,4,0,Net Banking
Sports,North,30,Male,1,64.67,1,64.67,4.9,10,1,0,Credit Card
Books,East,54,Female,10,18.47,2,36.94,4.5,15,9,0,UPI
Home & Kitchen,North,50,Male,5,193.56,1,193.56,4.3,15,1,0,Debit Card
Electronics,South,41,Female,8,268.51,3,805.53,3.1,30,6,0,UPI
Home & Kitchen,East,61,Male,5,146.91,2,293.82,4.3,15,7,0,UPI
Home & Kitchen,North,28,Male,10,77.34,1,77.34,4.4,15,3,1,UPI
Electronics,East,34,Male,11,243.88,2,487.76,4.7,5,1,0,Credit Card
Clothing,North,21,Male,6,91.44,2,182.88,3.9,0,7,0,UPI
Clothing,West,64,Female,11,92.76,1,92.76,3.6,5,3,0,UPI
Home & Kitchen,South,42,Female,4,121.17,3,363.51,3.3,20,6,0,COD
Home & Kitchen,West,47,Female,7,103.05,1,103.05,3.3,5,6,0,Credit Card
Electronics,East,26,Male,11,551.76,4,2207.04,3.9,15,4,0,Net Banking
Clothing,North,38,Male,5,55.93,3,167.79,2.9,15,6,0,Debit Card
Home & Kitchen,East,37,Male,12,150.05,1,150.05,3.4,0,4,0,Credit Card
